"","occurrence_no","record_type","reid_no","collection_no","taxon_name","taxon_rank","taxon_no","matched_name","matched_rank","matched_no","early_interval","early_age","late_age","reference_no","lng","lat","genus","genus_no","family","family_no","order","order_no","class","class_no","phylum","phylum_no","genus_name","species_name","species_reso","genus_reso","late_interval"
"1:193",632187,"occurrence",18754,68003,"Tyrannosauridae indet.","family",38606,"Tyrannosauridae","family",38606,"Late Campanian",83.5,70.6,"19433;19433",-103.169876,29.104792,NA,NA,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosauridae","indet.",NA,NA,NA
"1:194",632191,"occurrence",NA,68003,"Tyrannosauridae indet.","family",38606,"Tyrannosauridae","family",38606,"Late Campanian",83.5,70.6,"11752;11752",-103.169876,29.104792,NA,NA,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosauridae","indet.",NA,NA,NA
"1:195",632205,"occurrence",NA,68007,"Tyrannosauridae indet.","family",38606,"Tyrannosauridae","family",38606,"Early Maastrichtian",70.6,66,"19433;19433",-103.516487,29.30055,NA,NA,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosauridae","indet.",NA,NA,NA
"1:196",632213,"occurrence",NA,68008,"Tyrannosauridae indet.","family",38606,"Tyrannosauridae","family",38606,"Early Maastrichtian",70.6,66,"19433;19433",-103.56562,29.228554,NA,NA,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosauridae","indet.",NA,NA,NA
"1:197",632214,"occurrence",NA,68009,"Tyrannosauridae indet.","family",38606,"Tyrannosauridae","family",38606,"Late Maastrichtian",70.6,66,"19433;19433",-103.142296,29.433372,NA,NA,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosauridae","indet.",NA,NA,NA
"1:198",632217,"occurrence",NA,68010,"Tyrannosauridae indet.","family",38606,"Tyrannosauridae","family",38606,"Late Maastrichtian",70.6,66,"19433;19433",-103.142296,29.433372,NA,NA,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosauridae","indet.",NA,NA,NA
"1:199",632222,"occurrence",NA,68011,"Tyrannosauridae indet.","family",38606,"Tyrannosauridae","family",38606,"Late Maastrichtian",70.6,66,"19433;19433",-103.142296,29.433372,NA,NA,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosauridae","indet.",NA,NA,NA
"1:200",632223,"occurrence",NA,68012,"Tyrannosauridae indet.","family",38606,"Tyrannosauridae","family",38606,"Late Campanian",83.5,70.6,"19433;19433",-103.56562,29.228554,NA,NA,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosauridae","indet.",NA,NA,NA
"1:201",632225,"occurrence",NA,68013,"Tyrannosauridae indet.","family",38606,"Tyrannosauridae","family",38606,"Late Campanian",83.5,70.6,"19433;19433",-103.56562,29.228554,NA,NA,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosauridae","indet.",NA,NA,NA
"1:202",632228,"occurrence",NA,68014,"Tyrannosauridae indet.","family",38606,"Tyrannosauridae","family",38606,"Late Campanian",83.5,70.6,"19433;19433",-103.56562,29.228554,NA,NA,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosauridae","indet.",NA,NA,NA
