"","occurrence_no","record_type","collection_no","taxon_name","taxon_rank","taxon_no","matched_name","matched_rank","matched_no","early_interval","early_age","late_age","reference_no","lng","lat","family","family_no","order","order_no","class","class_no","phylum","phylum_no","genus_name","species_name","genus","genus_no","reid_no","genus_reso","late_interval","species_reso"
"1:702",1269307,"occurrence",58159,"Itemirus medullaris","species",66622,"Itemirus medullaris","species",66622,"Middle Turonian",93.5,89.3,"53745;53745",62.655315,42.117294,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Itemirus","medullaris","Itemirus",38626,NA,NA,"Late Turonian",NA
"1:703",1271469,"occurrence",168986,"Velociraptor sp.","genus",38564,"Velociraptor","genus",38564,"Campanian",83.6,72.1,"42291;42291",103.288887,44.232777,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Velociraptor","sp.","Velociraptor",38564,NA,NA,NA,NA
"1:704",1273552,"occurrence",55257,"Dromaeosauridae indet.","family",38561,"Dromaeosauridae","family",38561,"Maastrichtian",72.1,66,"55060;55060",100.011108,43.86639,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Dromaeosauridae","indet.",NA,NA,NA,NA,NA,NA
"1:705",1273730,"occurrence",65327,"Velociraptor sp.","genus",38564,"Velociraptor","genus",38564,"Campanian",83.6,72.1,"55298;55298",107.843613,43.663334,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Velociraptor","sp.","Velociraptor",38564,NA,NA,NA,NA
"1:706",1274629,"occurrence",169322,"Dromaeosauridae indet.","family",38561,"Dromaeosauridae","family",38561,"Late Maastrichtian",70.6,66,"55315;55315",1.772222,42.159168,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Dromaeosauridae","indet.",NA,NA,31208,NA,NA,NA
"1:707",1280874,"occurrence",89274,"Dromaeosauridae indet.","family",38561,"Dromaeosauridae","family",38561,"Late Berriasian",145,113,"55500;55500",-3.242159,41.934547,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Dromaeosauridae","indet.",NA,NA,NA,NA,"Aptian",NA
"1:708",1280876,"occurrence",68469,"Dromaeosauridae indet.","family",38561,"Dromaeosauridae","family",38561,"Late Hauterivian",136.4,125.45,"55500;55500",-2.5333,41.766701,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Dromaeosauridae","indet.",NA,NA,NA,NA,"Early Barremian",NA
"1:709",1292500,"occurrence",14388,"Dromaeosauridae ? indet.","family",38561,"Dromaeosauridae","family",38561,"Albian",113,100.5,"56060;56060",-97.582741,33.500179,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Dromaeosauridae","indet.",NA,NA,NA,"?",NA,NA
"1:710",1292812,"occurrence",28765,"Richardoestesia ? sp.","genus",58873,"Richardoestesia","genus",58873,"Late Campanian",83.5,70.6,"56091;56091",-2.634513,42.664555,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Richardoestesia","sp.","Richardoestesia",58873,NA,"?",NA,NA
"1:711",1292814,"occurrence",28765,"Dromaeosauridae ? indet.","family",38561,"Dromaeosauridae","family",38561,"Late Campanian",83.5,70.6,"56091;56091",-2.634513,42.664555,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Dromaeosauridae","indet.",NA,NA,NA,"?",NA,NA
"1:712",1292815,"occurrence",28765,"Pyroraptor ? olympius","species",65134,"Pyroraptor olympius","species",65134,"Late Campanian",83.5,70.6,"56091;56091",-2.634513,42.664555,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Pyroraptor","olympius","Pyroraptor",65133,NA,"?",NA,NA
"1:713",1296510,"occurrence",172918,"Dromaeosauridae ? indet.","family",38561,"Dromaeosauridae","family",38561,"Santonian",86.3,83.6,"56214;56214",-85.000763,32.470978,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Dromaeosauridae","indet.",NA,NA,NA,"?",NA,NA
"1:714",1296983,"occurrence",67196,"Dromaeosauridae indet.","family",38561,"Dromaeosauridae","family",38561,"Late Maastrichtian",70.6,66,"38063;38063",0.950376,43.200733,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Dromaeosauridae","indet.",NA,NA,NA,NA,NA,NA
